,ITTER107,Territorio,Tipo di coltivazione,Value
40242,ITE4,Lazio,mais,1282500
40255,ITF5,Basilicata,mela,82098
40329,ITE3,Marche,lattuga in serra,4637
40338,ITC3,Liguria,pera,1100
40349,ITD4,Friuli-Venezia Giulia,sorgo,34209
40361,ITE3,Marche,bietola da costa in piena aria,17168
40380,ITG2,Sardegna,sorgo,90
40388,ITE2,Umbria,fava fresca in piena aria,616
40406,ITC4,Lombardia,valeriana in serra,78000
40427,ITF3,Campania,ciliegia,276603
40442,ITG1,Sicilia,basilico in serra,240
40452,ITC1,Piemonte,canapa,8410
40462,ITE1,Toscana,sedano in serra,474
40480,ITD5,Emilia-Romagna,fava da granella ,71277
40524,ITF3,Campania,fava fresca in piena aria,56310
40526,ITF5,Basilicata,ciliegia,10200
40632,ITF2,Molise,fragola in piena aria,16800
40698,ITF3,Campania,broccoletto di rapa in piena aria,494922
40717,ITF2,Molise,nocciola,2550
40723,ITF5,Basilicata,broccoletto di rapa in piena aria,76218
40782,ITC4,Lombardia,fava da granella ,2593
40812,ITF6,Calabria,peperone in piena aria,228180
40919,ITF5,Basilicata,lattuga in piena aria,122870
40951,ITF3,Campania,lattuga in piena aria,316243
40957,ITF2,Molise,indivia (riccia e scarola) in piena aria,29200
40992,ITD4,Friuli-Venezia Giulia,pera,33621
41035,ITF2,Molise,altri ortaggi in serra,300
41059,ITG2,Sardegna,pisello in piena aria,9930
41061,ITF3,Campania,patata primaticcia ,661763
41238,ITG2,Sardegna,pera,9367
41260,ITD5,Emilia-Romagna,valeriana in serra,150
41268,ITE3,Marche,radicchio o cicoria in piena aria,122204
41311,ITD3,Veneto,albicocca,42525
41344,ITE1,Toscana,mais,947867
41429,ITE1,Toscana,girasole,398713
41458,ITC1,Piemonte,fragola in serra,14715
41473,ITD3,Veneto,cetriolo da mensa in serra,60340
41524,ITG1,Sicilia,pisello proteico ,470
41526,ITG2,Sardegna,cocomero in serra,15951
41606,ITE3,Marche,carciofo in piena aria,4184
41648,ITD3,Veneto,basilico in serra,58408
41674,ITD5,Emilia-Romagna,nocciola,510
41771,ITE2,Umbria,finocchio in piena aria,1810
41829,ITE1,Toscana,basilico in serra,1977
41852,ITG1,Sicilia,sedano in serra,855
41937,ITF5,Basilicata,arancia,749265
41942,ITE1,Toscana,albicocca,23297
41969,ITC3,Liguria,pisello in piena aria,180
41981,ITE3,Marche,bietola in serra,124
42034,ITC1,Piemonte,bietola in serra,1480
42048,ITF1,Abruzzo,broccoletto di rapa in piena aria,102320
42123,ITC1,Piemonte,albicocca,96110
42125,ITC4,Lombardia,melanzana in piena aria,5664
42214,ITF2,Molise,ciliegia,4000
42244,ITF1,Abruzzo,lattuga in piena aria,172460
42254,ITG1,Sicilia,fava da granella ,92550
42258,ITC4,Lombardia,asparago in piena aria,1190
42301,ITF2,Molise,aglio e scalogno in piena aria,1620
42399,ITF5,Basilicata,pisello in piena aria,2957
42421,ITE2,Umbria,pisello proteico ,800
42446,ITD4,Friuli-Venezia Giulia,colza,16534
42452,ITF5,Basilicata,fagiolo e fagiolino in piena aria,15006
42501,ITC1,Piemonte,radicchio o cicoria in piena aria,8010
42511,ITF1,Abruzzo,mela,138162
42553,ITC1,Piemonte,basilico in serra,1640
42623,ITG2,Sardegna,colza,79
42632,ITF5,Basilicata,sorgo,6942
42733,ITF1,Abruzzo,fava fresca in piena aria,9187
42741,ITF3,Campania,peperone in piena aria,224930
42769,ITE1,Toscana,asparago in serra,69
42826,ITF1,Abruzzo,ciliegia,15505
42852,ITE4,Lazio,valeriana in serra,4100
42904,ITF4,Puglia,colza,3100
42969,ITC1,Piemonte,aglio e scalogno in piena aria,16609
42975,ITF6,Calabria,asparago in serra,554
43147,ITC2,Valle d'Aosta / Vallée d'Aoste,mela,64000
43158,ITD5,Emilia-Romagna,ciliegia,114141
43224,ITD5,Emilia-Romagna,asparago in piena aria,47012
43226,ITE1,Toscana,bieta da orto in serra,1156
43281,ITF1,Abruzzo,arancia,142
43300,ITD5,Emilia-Romagna,patata comune ,2133592
43433,ITF5,Basilicata,pera,68764
43489,ITD3,Veneto,pera,724970
43510,ITC4,Lombardia,fagiolino in serra,4699
43527,ITD3,Veneto,cocomero in serra,27799
43531,ITF4,Puglia,fagiolino in serra,4770
43607,ITC1,Piemonte,pisello proteico ,18235
43685,ITE4,Lazio,asparago in serra,9780
43737,ITG1,Sicilia,nocciola,91720
43741,ITC4,Lombardia,ravanello in serra,793
43830,ITF3,Campania,altri cereali,10550
43837,ITC1,Piemonte,mais,13684970
