,ITTER107,Territorio,TIPO_DATO5,Tipo variabile,AGRI_MADRE,Tipo di coltivazione,TIME,Seleziona periodo,Value
4640,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,19900
4664,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,290950
4730,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,273545
4778,ITD4,Friuli-Venezia Giulia,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,8566
4808,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,514928
4874,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,94888
4940,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,14840
4958,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,22798
4988,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,386600
5030,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,83900
5060,ITF2,Molise,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,2400
5072,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,175928
5108,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,553500
5144,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,21656
5162,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,318085
5198,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,382750
5255,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,45736
5309,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,33296
5327,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,739930
5369,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,167060
5411,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,475560
5465,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,64685
5519,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,13000
5531,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,8634
5561,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,930000
